gene,mean_shap_rank,mean_attn_rank,combined_rank_score,n_folds,mean_shap_importance,mean_attention
RPA3OS,3468.33,2307.67,5776.00,2,1.01136e-05,0.000100114
ABCA3,2396.33,3379.67,5776.00,2,1.67317e-05,0.000100038
ERG,2040.67,3736.33,5777.00,2,2.2041e-05,9.99041e-05
SLC7A2,3064.67,2712.67,5777.33,2,1.30456e-05,0.000151124
MBOAT1,3787.33,1990.33,5777.67,2,4.60349e-06,0.000178894
CPED1,2640.67,3137.67,5778.33,2,6.35263e-06,0.000143218
FCER1G,2725.00,3053.67,5778.67,2,8.04989e-06,0.00013484
IFT80,3477.33,2301.33,5778.67,2,6.61781e-06,0.000151724
SORCS2,1762.33,4017.33,5779.67,3,6.97778e-06,0.000112211
TRIP6,3292.00,2488.33,5780.33,2,5.67951e-06,0.000382549
PIM1,2540.33,3240.33,5780.67,2,1.32807e-05,0.000100382
SOD3,3318.33,2462.33,5780.67,2,3.27157e-05,0.000154603
MYPOP,3325.33,2457.67,5783.00,2,4.76521e-06,0.000186827
TRIP13,3333.00,2450.33,5783.33,2,5.20283e-06,0.000152645
SERTAD4,2729.33,3054.00,5783.33,2,6.64897e-06,0.000127856
NMRK1,2508.33,3277.33,5785.67,2,9.71282e-06,0.000116779
CBR4,3002.00,2784.67,5786.67,2,4.84922e-06,0.000163891
KGFLP2,2512.67,3276.33,5789.00,2,1.66706e-05,0.000100003
DOK5,3680.33,2108.67,5789.00,3,2.59975e-06,0.000139065
RPGR,2411.67,3378.00,5789.67,2,1.48406e-05,0.000100013
ERCC6L,3030.33,2760.33,5790.67,2,6.09024e-06,0.000141714
MUSTN1,1984.00,3807.33,5791.33,2,2.39023e-05,9.99524e-05
KLK10,2580.33,3215.67,5796.00,3,9.63329e-06,0.00012501
TFPI2,2037.00,3759.00,5796.00,3,6.1327e-06,0.000130737
DDX60L,2757.33,3039.33,5796.67,2,1.35117e-05,0.000124641
VPS13C,2626.00,3172.67,5798.67,2,8.61632e-06,0.000127164
RHOJ,1318.67,4480.00,5798.67,3,9.4457e-06,0.000111928
UROD,2781.33,3017.67,5799.00,2,9.27675e-06,0.000126304
SLC46A3,2541.00,3259.33,5800.33,3,9.40743e-06,0.000121307
VAMP7,2743.33,3057.33,5800.67,2,1.07574e-05,0.000100031
ATP8A1,2447.33,3353.33,5800.67,2,1.39952e-05,0.00010006
RP11-499E18.1,2109.33,3694.33,5803.67,3,1.00222e-05,0.000120721
SLC1A1,3156.33,2647.33,5803.67,3,1.29727e-05,0.000135162
CENPW,3394.67,2410.00,5804.67,2,1.11185e-05,0.00014834
IRX5,2505.33,3299.33,5804.67,2,8.09952e-06,0.000116901
TCTEX1D2,3029.67,2775.33,5805.00,2,4.74958e-06,0.000166038
CPNE8,2704.00,3102.00,5806.00,2,1.3272e-05,0.000100018
ASCL2,2767.00,3040.00,5807.00,2,6.09248e-06,0.000124809
TF,2977.67,2832.00,5809.67,2,5.53949e-06,0.00016059
TMEM56,1787.33,4022.67,5810.00,3,1.10789e-05,0.000110328
LOC102724356,3237.00,2573.67,5810.67,2,8.33726e-06,0.000139735
STK17B,2220.67,3590.33,5811.00,2,9.38929e-06,0.000111376
TNFAIP2,2866.00,2947.00,5813.00,2,5.31125e-06,0.000148494
CYP4Z2P,2664.33,3149.00,5813.33,2,7.27551e-06,0.000137581
IQSEC1,2629.00,3184.67,5813.67,2,1.59586e-05,0.000100014
NRD1,3933.00,1881.00,5814.00,2,3.61406e-06,0.000232435
WISP1,2417.33,3397.33,5814.67,2,9.59045e-06,0.000147493
ARL15,3566.67,2248.33,5815.00,2,4.9881e-06,0.000169769
PRSS21,2220.67,3595.00,5815.67,3,5.45985e-06,0.000118368
FMO3,2828.67,2987.33,5816.00,3,5.59473e-06,0.000143781
SLC22A15,2430.33,3386.33,5816.67,3,7.88266e-06,0.000109874
CLTC-IT1,2721.67,3095.33,5817.00,2,7.77508e-06,0.000124131
BBX,2786.67,3030.33,5817.00,2,6.1144e-06,0.00013925
GRHL1,3258.00,2559.67,5817.67,2,3.95329e-06,0.000177307
AP006222.2,2583.67,3234.67,5818.33,2,1.28101e-05,0.000100008
F3,1550.33,4268.67,5819.00,3,1.27239e-05,0.000110737
EN1,2677.00,3144.67,5821.67,2,2.00363e-05,0.0001259
LCT,3072.00,2750.67,5822.67,3,2.91303e-06,0.000129952
NDNF,2943.00,2880.00,5823.00,3,5.49901e-06,0.000187663
HLA-DMB,3297.67,2525.33,5823.00,2,4.67598e-06,0.000152594
ADM5,2991.33,2832.00,5823.33,2,4.40747e-06,0.000140249
GNB4,3451.33,2373.33,5824.67,2,5.14366e-06,0.000151608
HIST1H4J,2702.67,3123.67,5826.33,2,7.11332e-06,0.00014132
AGA,2868.33,2958.33,5826.67,2,6.72734e-06,0.000377657
PNISR,2525.33,3302.33,5827.67,2,6.97282e-06,0.000118867
MIR101-1,2572.33,3255.67,5828.00,2,1.52899e-05,0.000100001
LINC01061,2822.67,3006.00,5828.67,2,1.16341e-05,0.000100079
KIAA0922,3211.33,2617.67,5829.00,3,4.47616e-06,0.000118447
LOC102724257,3245.33,2583.67,5829.00,3,3.26646e-06,0.000129075
SCAF4,2523.00,3307.33,5830.33,2,7.94883e-06,0.000119384
KIAA0485,2663.33,3167.67,5831.00,2,1.08888e-05,0.000137449
RP11-554J4.1,3090.67,2741.00,5831.67,2,4.58709e-06,0.000288859
ACTA2,3077.67,2754.33,5832.00,2,7.17285e-06,0.000144866
LOC101928054,3447.67,2384.67,5832.33,2,7.57275e-06,0.000100088
SLC27A1,3138.67,2695.67,5834.33,2,2.4476e-05,0.000101949
LOC101927841,2478.00,3358.33,5836.33,2,2.14087e-05,9.99876e-05
